t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,602.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,195.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,288.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,418.0
4,800,1184.0,811.0,727.0,757.0,533.0,533.0,1267.0,473.0
5,800,911.0,0.0,-327.0,811.0,383.0,599.0,884.0,427.0
6,800,827.0,0.0,727.0,456.0,757.0,1010.0,811.0,345.0
7,800,44.0,0.0,-327.0,0.0,811.0,1255.0,0.0,297.0
8,800,771.0,0.0,727.0,505.0,456.0,1004.0,0.0,0.0
9,800,-61.0,0.0,-327.0,0.0,0.0,395.0,0.0,0.0
10,800,666.0,0.0,727.0,0.0,505.0,900.0,0.0,0.0
11,800,339.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
12,800,1066.0,0.0,727.0,0.0,0.0,900.0,0.0,0.0
13,800,739.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
14,800,1466.0,0.0,727.0,143.0,0.0,900.0,0.0,143.0
15,40,996.0,0.0,-327.0,198.0,0.0,757.0,0.0,198.0
16,40,1525.0,0.0,40.0,208.0,143.0,702.0,0.0,208.0
17,40,990.0,0.0,40.0,202.0,198.0,692.0,0.0,202.0
18,40,828.0,0.0,40.0,185.0,208.0,698.0,0.0,185.0
19,40,683.0,0.0,40.0,207.0,202.0,715.0,0.0,207.0
20,40,516.0,0.0,40.0,178.0,185.0,693.0,0.0,178.0
21,40,378.0,0.0,40.0,212.0,207.0,722.0,0.0,212.0
22,40,206.0,0.0,40.0,202.0,178.0,688.0,0.0,202.0
23,40,44.0,145.0,40.0,44.0,212.0,698.0,0.0,189.0
24,40,40.0,324.0,40.0,28.0,202.0,711.0,0.0,207.0
25,40,52.0,634.0,40.0,35.0,44.0,548.0,145.0,200.0
26,40,57.0,975.0,40.0,35.0,28.0,376.0,324.0,197.0
27,40,62.0,1446.0,40.0,37.0,35.0,214.0,634.0,198.0
28,40,65.0,1802.0,40.0,36.0,35.0,51.0,975.0,208.0
29,40,69.0,2260.0,40.0,38.0,37.0,37.0,1446.0,189.0
30,40,71.0,2610.0,40.0,38.0,36.0,48.0,1802.0,361.0
31,40,73.0,3061.0,40.0,39.0,38.0,54.0,2260.0,359.0
