t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,598.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,198.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,293.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,393.0
4,800,1184.0,813.0,729.0,757.0,533.0,533.0,1267.0,485.0
5,800,911.0,0.0,-329.0,813.0,383.0,597.0,884.0,415.0
6,800,827.0,0.0,729.0,460.0,757.0,1010.0,813.0,362.0
7,800,38.0,0.0,-329.0,0.0,813.0,1253.0,0.0,248.0
8,800,767.0,0.0,729.0,446.0,460.0,1019.0,0.0,0.0
9,800,-8.0,0.0,-329.0,0.0,0.0,454.0,0.0,0.0
10,800,721.0,0.0,729.0,0.0,446.0,900.0,0.0,0.0
11,800,392.0,0.0,-329.0,0.0,0.0,900.0,0.0,0.0
12,800,1121.0,0.0,729.0,0.0,0.0,900.0,0.0,0.0
13,800,792.0,0.0,-329.0,0.0,0.0,900.0,0.0,0.0
14,800,1521.0,0.0,729.0,156.0,0.0,900.0,0.0,156.0
15,40,1036.0,0.0,-329.0,200.0,0.0,744.0,0.0,200.0
16,40,1565.0,0.0,40.0,196.0,156.0,700.0,0.0,196.0
17,40,1040.0,0.0,40.0,201.0,200.0,704.0,0.0,201.0
18,40,879.0,0.0,40.0,190.0,196.0,699.0,0.0,190.0
19,40,729.0,0.0,40.0,204.0,201.0,710.0,0.0,204.0
20,40,565.0,0.0,40.0,184.0,190.0,696.0,0.0,184.0
21,40,421.0,0.0,40.0,200.0,204.0,716.0,0.0,200.0
22,40,261.0,0.0,40.0,201.0,184.0,700.0,0.0,201.0
23,800,100.0,99.0,459.0,100.0,200.0,699.0,0.0,199.0
24,800,40.0,275.0,216.0,30.0,201.0,701.0,0.0,206.0
25,800,469.0,255.0,439.0,316.0,100.0,595.0,99.0,197.0
26,800,369.0,378.0,339.0,263.0,30.0,428.0,275.0,210.0
27,800,545.0,246.0,307.0,328.0,316.0,534.0,255.0,216.0
28,800,556.0,180.0,273.0,387.0,263.0,581.0,378.0,198.0
29,800,476.0,0.0,127.0,259.0,328.0,711.0,246.0,211.0
30,800,490.0,0.0,273.0,130.0,387.0,887.0,180.0,196.0
31,800,487.0,0.0,127.0,40.0,259.0,950.0,0.0,220.0
32,800,720.0,0.0,273.0,202.0,130.0,860.0,0.0,202.0
33,800,645.0,0.0,127.0,200.0,40.0,698.0,0.0,200.0
34,800,718.0,0.0,273.0,203.0,202.0,700.0,0.0,203.0
35,800,642.0,0.0,127.0,199.0,200.0,697.0,0.0,199.0
36,800,716.0,0.0,273.0,203.0,203.0,701.0,0.0,203.0
37,800,640.0,0.0,127.0,180.0,199.0,697.0,0.0,180.0
38,800,733.0,0.0,273.0,193.0,203.0,720.0,0.0,193.0
39,800,667.0,0.0,127.0,213.0,180.0,707.0,0.0,213.0
40,800,727.0,0.0,273.0,184.0,193.0,687.0,0.0,184.0
41,800,670.0,0.0,127.0,191.0,213.0,716.0,0.0,191.0
