t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,583.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,198.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,264.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,400.0
4,800,1184.0,813.0,729.0,757.0,533.0,533.0,1267.0,466.0
5,800,911.0,0.0,-329.0,813.0,383.0,597.0,884.0,434.0
6,800,827.0,0.0,729.0,460.0,757.0,1007.0,813.0,346.0
7,800,38.0,397.0,68.0,38.0,813.0,1253.0,0.0,290.0
8,800,729.0,0.0,332.0,397.0,460.0,465.0,0.0,0.0
9,800,400.0,0.0,68.0,397.0,38.0,503.0,397.0,0.0
10,800,335.0,0.0,332.0,0.0,397.0,900.0,0.0,0.0
11,800,403.0,0.0,68.0,0.0,397.0,1297.0,0.0,0.0
12,800,735.0,0.0,332.0,0.0,0.0,1297.0,0.0,0.0
13,800,803.0,0.0,68.0,0.0,0.0,1297.0,0.0,24.0
14,800,1135.0,0.0,332.0,0.0,0.0,1273.0,0.0,195.0
15,40,1203.0,0.0,40.0,35.0,0.0,1078.0,0.0,213.0
16,40,1500.0,0.0,40.0,202.0,0.0,865.0,0.0,202.0
17,40,1338.0,0.0,40.0,207.0,35.0,698.0,0.0,207.0
18,40,1171.0,0.0,40.0,208.0,202.0,693.0,0.0,208.0
19,40,1003.0,0.0,40.0,207.0,207.0,692.0,0.0,207.0
20,40,836.0,0.0,40.0,186.0,208.0,693.0,0.0,186.0
21,40,690.0,0.0,40.0,190.0,207.0,714.0,0.0,190.0
22,40,540.0,0.0,40.0,198.0,186.0,710.0,0.0,198.0
23,40,382.0,0.0,40.0,202.0,190.0,702.0,0.0,202.0
24,40,220.0,0.0,40.0,202.0,198.0,698.0,0.0,202.0
25,800,58.0,140.0,500.0,58.0,202.0,698.0,0.0,198.0
26,800,40.0,308.0,208.0,28.0,202.0,702.0,0.0,196.0
27,800,512.0,313.0,505.0,349.0,58.0,564.0,140.0,214.0
28,800,371.0,429.0,324.0,254.0,28.0,378.0,308.0,202.0
29,800,622.0,267.0,343.0,371.0,349.0,525.0,313.0,204.0
30,800,575.0,187.0,244.0,393.0,254.0,575.0,429.0,197.0
31,800,525.0,0.0,156.0,219.0,371.0,749.0,267.0,194.0
32,800,550.0,0.0,244.0,124.0,393.0,948.0,187.0,204.0
33,800,582.0,0.0,156.0,23.0,219.0,963.0,0.0,210.0
34,800,803.0,0.0,244.0,212.0,124.0,877.0,0.0,212.0
35,800,747.0,0.0,156.0,204.0,23.0,688.0,0.0,204.0
36,800,787.0,0.0,244.0,186.0,212.0,696.0,0.0,186.0
37,800,757.0,0.0,156.0,207.0,204.0,714.0,0.0,207.0
38,800,794.0,0.0,244.0,184.0,186.0,693.0,0.0,184.0
39,800,766.0,0.0,156.0,188.0,207.0,716.0,0.0,188.0
40,800,822.0,0.0,244.0,193.0,184.0,712.0,0.0,193.0
41,800,785.0,0.0,156.0,191.0,188.0,707.0,0.0,191.0
42,800,838.0,0.0,244.0,208.0,193.0,709.0,0.0,208.0
43,800,786.0,0.0,156.0,204.0,191.0,692.0,0.0,204.0
44,800,826.0,0.0,244.0,206.0,208.0,696.0,0.0,206.0
45,800,776.0,0.0,156.0,193.0,204.0,694.0,0.0,193.0
46,800,827.0,0.0,244.0,201.0,206.0,707.0,0.0,201.0
47,800,782.0,0.0,156.0,212.0,193.0,699.0,0.0,212.0
48,800,814.0,0.0,244.0,187.0,201.0,688.0,0.0,187.0
49,800,783.0,0.0,156.0,194.0,212.0,713.0,0.0,194.0
50,800,833.0,0.0,244.0,194.0,187.0,706.0,0.0,194.0
51,800,795.0,0.0,156.0,189.0,194.0,706.0,0.0,189.0
52,800,850.0,0.0,244.0,201.0,194.0,711.0,0.0,201.0
53,800,805.0,0.0,156.0,207.0,189.0,699.0,0.0,207.0
54,800,842.0,0.0,244.0,202.0,201.0,693.0,0.0,202.0
55,800,796.0,0.0,156.0,201.0,207.0,698.0,0.0,201.0
56,800,839.0,0.0,244.0,215.0,202.0,699.0,0.0,215.0
57,800,780.0,0.0,156.0,192.0,201.0,685.0,0.0,192.0
58,800,832.0,0.0,244.0,199.0,215.0,708.0,0.0,199.0
59,800,789.0,0.0,156.0,212.0,192.0,701.0,0.0,212.0
60,800,821.0,0.0,244.0,206.0,199.0,688.0,0.0,206.0
