t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,605.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,212.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,313.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,404.0
4,800,1184.0,812.0,728.0,757.0,533.0,533.0,1267.0,496.0
5,800,911.0,0.0,-328.0,812.0,383.0,598.0,884.0,404.0
6,800,827.0,0.0,728.0,458.0,757.0,1014.0,812.0,377.0
7,800,41.0,0.0,-328.0,0.0,812.0,1254.0,0.0,257.0
8,800,769.0,0.0,728.0,529.0,458.0,1019.0,0.0,4.0
9,800,-88.0,0.0,-328.0,0.0,0.0,371.0,0.0,0.0
10,800,640.0,0.0,728.0,0.0,529.0,900.0,0.0,0.0
11,800,312.0,0.0,-328.0,0.0,0.0,900.0,0.0,0.0
12,800,1040.0,0.0,728.0,0.0,0.0,900.0,0.0,0.0
13,800,712.0,0.0,-328.0,0.0,0.0,900.0,0.0,0.0
14,800,1440.0,0.0,728.0,125.0,0.0,900.0,0.0,125.0
15,40,987.0,0.0,-328.0,208.0,0.0,775.0,0.0,208.0
16,40,1507.0,0.0,40.0,200.0,125.0,692.0,0.0,200.0
17,40,979.0,0.0,40.0,198.0,208.0,700.0,0.0,198.0
18,40,821.0,0.0,40.0,216.0,200.0,702.0,0.0,216.0
19,40,645.0,0.0,40.0,186.0,198.0,684.0,0.0,186.0
20,40,499.0,0.0,40.0,198.0,216.0,714.0,0.0,198.0
21,40,341.0,0.0,40.0,195.0,186.0,702.0,0.0,195.0
22,40,186.0,0.0,40.0,184.0,198.0,705.0,0.0,184.0
23,40,42.0,149.0,40.0,42.0,195.0,716.0,0.0,191.0
24,40,40.0,320.0,40.0,28.0,184.0,709.0,0.0,199.0
25,40,52.0,619.0,40.0,34.0,42.0,552.0,149.0,184.0
26,40,58.0,953.0,40.0,35.0,28.0,396.0,320.0,198.0
27,40,63.0,1411.0,40.0,38.0,34.0,232.0,619.0,197.0
28,40,65.0,1779.0,40.0,36.0,35.0,70.0,953.0,209.0
29,40,69.0,2226.0,40.0,38.0,38.0,38.0,1411.0,203.0
30,40,71.0,2587.0,40.0,38.0,36.0,47.0,1779.0,338.0
31,40,73.0,3028.0,40.0,39.0,38.0,54.0,2226.0,375.0
32,40,74.0,3385.0,40.0,39.0,38.0,59.0,2587.0,502.0
33,40,75.0,3822.0,40.0,39.0,39.0,63.0,3028.0,398.0
34,40,76.0,4177.0,40.0,39.0,39.0,67.0,3385.0,502.0
35,40,77.0,4611.0,40.0,40.0,39.0,69.0,3822.0,398.0
