t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,589.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,205.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,300.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,399.0
4,800,1184.0,813.0,729.0,757.0,533.0,533.0,1267.0,497.0
5,800,911.0,0.0,-329.0,813.0,383.0,597.0,884.0,403.0
6,800,827.0,0.0,729.0,460.0,757.0,1012.0,813.0,375.0
7,800,38.0,0.0,-329.0,0.0,813.0,1253.0,0.0,270.0
8,800,767.0,0.0,729.0,492.0,460.0,1015.0,0.0,0.0
9,800,-54.0,0.0,-329.0,0.0,0.0,408.0,0.0,0.0
10,800,675.0,0.0,729.0,0.0,492.0,900.0,0.0,0.0
11,800,346.0,0.0,-329.0,0.0,0.0,900.0,0.0,0.0
12,800,1075.0,0.0,729.0,0.0,0.0,900.0,0.0,0.0
13,800,746.0,0.0,-329.0,0.0,0.0,900.0,0.0,0.0
14,800,1475.0,0.0,729.0,195.0,0.0,900.0,0.0,195.0
15,40,951.0,0.0,-329.0,198.0,0.0,705.0,0.0,198.0
16,40,1482.0,0.0,40.0,209.0,195.0,702.0,0.0,209.0
17,40,944.0,0.0,40.0,210.0,198.0,691.0,0.0,210.0
18,40,774.0,0.0,40.0,206.0,209.0,690.0,0.0,206.0
19,40,608.0,0.0,40.0,181.0,210.0,694.0,0.0,181.0
20,40,467.0,0.0,40.0,208.0,206.0,719.0,0.0,208.0
21,40,299.0,0.0,40.0,209.0,181.0,692.0,0.0,209.0
22,40,130.0,72.0,40.0,130.0,208.0,691.0,0.0,202.0
23,40,40.0,241.0,40.0,31.0,209.0,698.0,0.0,200.0
24,40,49.0,459.0,40.0,32.0,130.0,628.0,72.0,178.0
25,40,57.0,793.0,40.0,36.0,31.0,481.0,241.0,201.0
26,40,61.0,1168.0,40.0,36.0,32.0,312.0,459.0,193.0
27,40,65.0,1619.0,40.0,38.0,36.0,155.0,793.0,175.0
28,40,67.0,1990.0,40.0,37.0,36.0,36.0,1168.0,204.0
29,40,70.0,2430.0,40.0,38.0,38.0,41.0,1619.0,213.0
30,40,72.0,2796.0,40.0,38.0,37.0,51.0,1990.0,359.0
31,40,74.0,3231.0,40.0,39.0,38.0,56.0,2430.0,388.0
32,800,75.0,3593.0,800.0,39.0,38.0,60.0,2796.0,512.0
33,800,76.0,4023.0,800.0,40.0,39.0,64.0,3231.0,388.0
