t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,598.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,195.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,304.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,381.0
4,800,1184.0,814.0,730.0,757.0,533.0,533.0,1267.0,498.0
5,800,911.0,0.0,-330.0,814.0,383.0,596.0,884.0,402.0
6,800,827.0,0.0,730.0,460.0,757.0,1011.0,814.0,367.0
7,800,37.0,0.0,-330.0,0.0,814.0,1254.0,0.0,257.0
8,800,767.0,0.0,730.0,455.0,460.0,1017.0,0.0,0.0
9,800,-18.0,0.0,-330.0,0.0,0.0,445.0,0.0,0.0
10,800,712.0,0.0,730.0,0.0,455.0,900.0,0.0,0.0
11,800,382.0,0.0,-330.0,0.0,0.0,900.0,0.0,0.0
12,800,1112.0,0.0,730.0,0.0,0.0,900.0,0.0,0.0
13,800,782.0,0.0,-330.0,0.0,0.0,900.0,0.0,0.0
14,800,1512.0,0.0,730.0,191.0,0.0,900.0,0.0,191.0
15,40,991.0,0.0,-330.0,195.0,0.0,709.0,0.0,195.0
16,40,1526.0,0.0,40.0,187.0,191.0,705.0,0.0,187.0
17,40,1009.0,0.0,40.0,205.0,195.0,713.0,0.0,205.0
18,40,844.0,0.0,40.0,183.0,187.0,695.0,0.0,183.0
19,40,701.0,0.0,40.0,203.0,205.0,717.0,0.0,203.0
20,40,538.0,0.0,40.0,188.0,183.0,697.0,0.0,188.0
21,800,390.0,0.0,360.0,187.0,203.0,712.0,0.0,187.0
22,800,243.0,0.0,40.0,202.0,188.0,713.0,0.0,202.0
23,800,401.0,0.0,360.0,196.0,187.0,698.0,0.0,196.0
24,800,245.0,0.0,40.0,199.0,202.0,704.0,0.0,199.0
25,800,406.0,0.0,360.0,187.0,196.0,701.0,0.0,187.0
26,800,259.0,0.0,40.0,189.0,199.0,713.0,0.0,189.0
27,800,430.0,0.0,360.0,194.0,187.0,711.0,0.0,194.0
28,800,276.0,0.0,40.0,204.0,189.0,706.0,0.0,204.0
29,800,432.0,0.0,360.0,191.0,194.0,696.0,0.0,191.0
30,800,281.0,0.0,40.0,189.0,204.0,709.0,0.0,189.0
31,800,452.0,0.0,360.0,201.0,191.0,711.0,0.0,201.0
32,800,291.0,0.0,40.0,180.0,189.0,699.0,0.0,180.0
33,800,471.0,0.0,360.0,189.0,201.0,720.0,0.0,189.0
34,800,322.0,0.0,40.0,201.0,180.0,711.0,0.0,201.0
35,800,481.0,0.0,360.0,194.0,189.0,699.0,0.0,194.0
36,800,327.0,0.0,40.0,173.0,201.0,706.0,0.0,173.0
37,800,514.0,0.0,360.0,196.0,194.0,727.0,0.0,196.0
38,800,358.0,0.0,40.0,220.0,173.0,704.0,0.0,220.0
39,800,498.0,0.0,360.0,181.0,196.0,680.0,0.0,181.0
40,800,357.0,0.0,40.0,199.0,220.0,719.0,0.0,199.0
41,800,518.0,0.0,360.0,201.0,181.0,701.0,0.0,201.0
42,800,357.0,0.0,40.0,205.0,199.0,699.0,0.0,205.0
43,800,512.0,0.0,360.0,211.0,201.0,695.0,0.0,211.0
44,800,341.0,0.0,40.0,212.0,205.0,689.0,0.0,212.0
45,800,489.0,0.0,360.0,201.0,211.0,688.0,0.0,201.0
46,800,328.0,0.0,40.0,188.0,212.0,699.0,0.0,188.0
47,800,500.0,0.0,360.0,194.0,201.0,712.0,0.0,194.0
48,800,346.0,0.0,40.0,192.0,188.0,706.0,0.0,192.0
49,800,514.0,0.0,360.0,180.0,194.0,708.0,0.0,180.0
50,800,374.0,0.0,40.0,200.0,192.0,720.0,0.0,200.0
